sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00050-00008527/2026-43,CAD,5º CPR,14º BPM,60,JUNINA,Arraia do condomínio,Q3 Rua G Condominio Nova Planaltina Df,Planaltina,2026-06-21 19:00:00,2026-06-21 06:00:00,PUBF,,2026-05-14,-15.78,-47.91
00050-00008061/2026-86,CAD,5º CPR,13º BPM,100,JUNINA,festa junina,Quadra 02 Conjunto A Lote 21 SOBRADINHO-DF,Sobradinho,2026-06-27 16:00:00,2026-06-27 21:00:00,PUBA,,2026-05-07,-15.66,-47.80
00050-00008061/2026-86,CAD,5º CPR,13º BPM,100,JUNINA,festa junina,Quadra 02 Conjunto A Lote 21 SOBRADINHO-DF,Sobradinho,2026-06-28 16:00:00,2026-06-28 21:00:00,PUBA,,2026-05-07,-15.66,-47.80
00050-00007649/2026-12,CAD,5º CPR,20º BPM,3000,JUNINA/ESCOLA,FESTA JUNINA ESCOLA CAIC SANTA PAULINA,"QUADRA 05, AE 01, PARANOÁ DF",Paranoá,2026-07-04 10:00:00,2026-07-04 16:00:00,PUBF,,2026-04-30,-15.78,-47.78
00050-00007913/2026-18,CAD,5º CPR,14º BPM,380,JUNINA,Arraiá do Hotelzinho São Vicente de Paulo,Rua 15 de Novembro Quadra 60 Lote 9-A - Setor Tradicional - Planaltina DF,Planaltina,2026-07-04 16:00:00,2026-07-04 22:30:00,PUBA,,2026-05-05,-15.62,-47.66
00050-00009118/2026-64,CAD,5º CPR,20º BPM,200,JUNINA,3º Arraiá do Netão,estacionameto do polo de plantas do Paranoá,Paranoá,2026-07-11 18:00:00,2026-07-11 00:00:00,PUBA,,2026-05-20,-15.79,-47.78
00050-00009092/2026-54,CAD,5º CPR,20º BPM,999,JUNINA,FESTA JUNINA DA QUADRA 15 DO PARANOA,QUADRA POLIESPORTIVA DA QUADRA 15 O PARANOA,Paranoá,2026-07-18 19:00:00,2026-07-18 00:00:00,PUBA,,2026-05-20,-15.77,-47.78
00050-00005016/2023-27,ENC,6º CPR,9º BPM,200,JUNINA/ESCOLA,ARRAIÁ ARRETADO DE BÃO - VII - EDIÇÃO 2023,VILA OLIMPICA DO GAMA,Gama,2023-06-07 17:00:00,2023-06-08 00:00:00,,,2023-04-27,,
00050-00005016/2023-27,ENC,6º CPR,9º BPM,200,JUNINA/ESCOLA,ARRAIÁ ARRETADO DE BÃO - VII - EDIÇÃO 2023,VILA OLIMPICA DO GAMA,Gama,2023-06-08 17:00:00,2023-06-09 00:00:00,,,2023-04-27,,
00050-00005016/2023-27,ENC,6º CPR,9º BPM,200,JUNINA/ESCOLA,ARRAIÁ ARRETADO DE BÃO - VII - EDIÇÃO 2023,VILA OLIMPICA DO GAMA,Gama,2023-06-09 17:00:00,2023-06-10 00:00:00,,,2023-04-27,,
00050-00005720/2023-80,ENC,6º CPR,27º BPM,1000,JUNINA,FESTA JUNINA - PARÓQUIA SÃO MIGUEL ARCANJO,"RECANTO DAS EMAS/DF - QUADRA 106, AV. RECANTO DAS EMAS, LOTE 2",Recanto das Emas,2023-06-09 19:00:00,2023-06-09 23:59:00,PUBA,,2023-05-15,,
00050-00005016/2023-27,ENC,6º CPR,9º BPM,200,JUNINA/ESCOLA,ARRAIÁ ARRETADO DE BÃO - VII - EDIÇÃO 2023,VILA OLIMPICA DO GAMA,Gama,2023-06-10 17:00:00,2023-06-11 00:00:00,,,2023-04-27,,
00050-00005720/2023-80,ENC,6º CPR,27º BPM,1000,JUNINA,FESTA JUNINA - PARÓQUIA SÃO MIGUEL ARCANJO,"RECANTO DAS EMAS/DF - QUADRA 106, AV. RECANTO DAS EMAS, LOTE 2",Recanto das Emas,2023-06-10 19:00:00,2023-06-10 23:59:00,PUBA,,2023-05-15,,
00050-00005016/2023-27,ENC,6º CPR,9º BPM,200,JUNINA/ESCOLA,ARRAIÁ ARRETADO DE BÃO - VII - EDIÇÃO 2023,VILA OLIMPICA DO GAMA,Gama,2023-06-11 17:00:00,2023-06-12 00:00:00,,,2023-04-27,,
00050-00005720/2023-80,ENC,6º CPR,27º BPM,1000,JUNINA,FESTA JUNINA - PARÓQUIA SÃO MIGUEL ARCANJO,"RECANTO DAS EMAS/DF - QUADRA 106, AV. RECANTO DAS EMAS, LOTE 2",Recanto das Emas,2023-06-11 19:00:00,2023-06-11 23:59:00,PUBA,,2023-05-15,,
